,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
0,0.919482409954071,0.9746097326278687,0.22999858856201172,0.9772099256515503,0.9129032492637634,0.8312559723854065,0.9962517619132996,0.38663172721862793,1.0,0.7729032039642334,0.0010000000474974513
1,0.9487179517745972,0.9876010417938232,0.14517231285572052,0.9842281937599182,0.9461290240287781,0.9415148496627808,0.9965239763259888,0.142902672290802,0.9972144961357117,0.9238709807395935,0.0010000000474974513
2,0.951114296913147,0.9859214425086975,0.15792346000671387,0.9833110570907593,0.9503225684165955,0.8609779477119446,0.9896100163459778,0.4226464033126831,1.0,0.8129032254219055,0.0010000000474974513
3,0.9611790180206299,0.9912785291671753,0.11095325648784637,0.9909759163856506,0.9564515948295593,0.8782358765602112,0.9842320680618286,0.42360737919807434,1.0,0.8361290097236633,0.0010000000474974513
4,0.9683680534362793,0.9943605661392212,0.08536329865455627,0.9930232763290405,0.9641935229301453,0.9242569804191589,0.9947256445884705,0.2303764671087265,1.0,0.8980644941329956,0.0010000000474974513
5,0.9674095511436462,0.9924451112747192,0.09807249158620834,0.9894319772720337,0.9664515852928162,0.9012464284896851,0.9947400093078613,0.2946222722530365,1.0,0.8670967817306519,0.0005000000237487257
6,0.9700455069541931,0.9955316185951233,0.07436288893222809,0.9917355179786682,0.9677419066429138,0.899328887462616,0.9904308915138245,0.31982311606407166,1.0,0.8645161390304565,0.0005000000237487257
7,0.9573448300361633,0.9891999959945679,0.1302473545074463,0.9809085130691528,0.9612902998924255,0.9328858852386475,0.9959774017333984,0.1747497171163559,0.99858558177948,0.9109677672386169,9.999999974752427e-07
8,0.9583033919334412,0.988369345664978,0.13008061051368713,0.9822016954421997,0.9612902998924255,0.9338446855545044,0.9944512248039246,0.18693368136882782,0.9985875487327576,0.9122580885887146,9.999999974752427e-07
9,0.9573448300361633,0.9897741079330444,0.1270076036453247,0.9850597381591797,0.9570967555046082,0.926174521446228,0.9933124780654907,0.2052984982728958,0.9985714554786682,0.9019354581832886,9.999999974752427e-07
10,0.9647735357284546,0.9902206659317017,0.12304874509572983,0.9868117570877075,0.9654838442802429,0.926174521446228,0.9933990836143494,0.20856571197509766,0.9985714554786682,0.9019354581832886,9.999999974752427e-07
11,0.9621375799179077,0.9918344020843506,0.11689835786819458,0.9870861172676086,0.96161288022995,0.9271332621574402,0.9933991432189941,0.20435184240341187,0.9985734820365906,0.9032257795333862,4.999999987376214e-07
12,0.959980845451355,0.9911278486251831,0.11761202663183212,0.9831960201263428,0.9625806212425232,0.9252157211303711,0.9934930205345154,0.21191450953483582,0.9985693693161011,0.9006451368331909,4.999999987376214e-07
